22-Sep-2026 19:07:29 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 19:07:29 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 19:07:29 | INFO    | Running IHP-SG13G2 main checks on design /work/build/scratch/bgr-mos-contact-prototypes-20260922-r2/bgr_mos_proto_03.gds, topcell: bgr_mos_proto_03
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/build/scratch/bgr-mos-contact-prototypes-20260922-r2/bgr_mos_proto_03.gds
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : Ruby Version for klayout: 3.2.3
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : Loading database to memory is complete.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : IHP-SG13G2 KLayout DRC runset output at: /work/build/scratch/bgr-mos-stock-20260922-r1/bgr_mos_proto_03-drc/bgr_mos_proto_03_bgr_mos_proto_03_main.lyrdb
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : Evaluate switches.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : tables selected: main
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : deep mode is enabled.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : FEOL enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : BEOL enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : OFFGRID enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : ANGLE enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : PIN enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : FORBIDDEN enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : RECOMMENDED enabled: true
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : PreCheck DRC enabled: false
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : Read in polygons from layers.
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_drw has 7 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_pin has 0 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_mask has 0 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_filler has 0 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_nofill has 0 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_opc has 0 polygons
2026-09-22 19:07:31 +0200: Memory Usage (408700K) : activ_iopc has 0 polygons
