 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  1.407734958583724e-24  1.407734958583724e-24  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.461218295285139e-26 -2.922436590570278e-26  0.000000000000000e+00 
 5.000000000000001e-12  1.297230216030094e-24  1.407723909214406e-24 -5.121582402670186e-27 -5.222091837964480e-29 -1.070826958208302e-31 -1.445379983136910e-26 -2.890759966273820e-26 -2.141653916416604e-31 
 1.000000000000000e-11  1.302060755206657e-24  1.407713343955531e-24 -7.024949092847733e-27 -6.458023146655070e-29 -1.486670279632912e-31 -1.430151236343930e-26 -2.860302472687859e-26 -2.973340559265824e-31 
 2.000000000000000e-11 -1.886861173406036e-17 -2.262554196691892e-21 -9.581982874539014e-18 -2.535966959129315e-18  1.318548627418910e-21 -8.051876725937019e-21 -1.610375345187404e-20  2.637097254837820e-21 
 4.000000000000000e-11  1.481286965043036e-17 -5.185105660814244e-22 -2.297604071767331e-17 -1.189810064845500e-17  3.306587767359620e-21 -6.450258292823001e-20 -1.290051658564600e-19  6.613175534719239e-21 
 8.000000000000001e-11 -5.145200862222800e-19  6.294525597915562e-22 -4.861701953164131e-17 -1.711069199723468e-17  6.192959462285107e-21 -5.469891675669470e-20 -1.093978335133894e-19  1.238591892457021e-20 
 1.600000000000000e-10  2.356489318366638e-18  3.806398663405045e-21 -7.231797445225932e-17 -2.941880204550387e-17  8.239529019420664e-21 -5.414536088277582e-20 -1.082907217655516e-19  1.647905803884133e-20 
 3.200000000000000e-10 -7.786607871370672e-19  4.843627071016317e-21 -1.098077748391681e-16 -4.563341084004539e-17  9.397991458099937e-21  6.665167439186962e-22  1.333033487837392e-21  1.879598291619987e-20 
 6.400000000000001e-10  8.023801145737769e-19  8.721060564500955e-21 -9.930411407079046e-17 -5.891614209848333e-17  8.232186203406026e-21  1.899414686980394e-20  3.798829373960788e-20  1.646437240681205e-20 
 1.140000000000000e-09 -2.673231427633505e-19  9.297541854590164e-21 -1.027689093071208e-16 -6.646735286821547e-17  5.670205874748376e-21  6.721490184606697e-20  1.344298036921339e-19  1.134041174949675e-20 
 1.640000000000000e-09  1.948157035586354e-19  1.071702679636835e-20 -1.016679476127778e-16 -7.566816518211615e-17  2.995792554280306e-21  6.113651222982432e-20  1.222730244596486e-19  5.991585108560612e-21 
