 time            v(vref)         v(isense)       v(gate)         v(vdd)          v(vdda)         v(osc_clk)      v(cmp_clk)     
 0.00000000e+00  1.03930323e+00  9.98436852e-01  1.24579663e-10  1.19990184e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-10  1.03930323e+00  9.98436852e-01  1.24579663e-10  1.19990184e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-10  1.03930323e+00  9.98436852e-01  1.24579663e-10  1.19990184e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-10  1.03930323e+00  9.98436852e-01  1.24579663e-10  1.19990184e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-09  1.03930323e+00  9.98436852e-01  1.24579663e-10  1.19990184e+00  3.29948205e+00  0.00000000e+00  0.00000000e+00 
 1.00154871e-09  1.03930339e+00  9.98436856e-01  1.24579663e-10  1.19990192e+00  3.29948207e+00  0.00000000e+00  0.00000000e+00 
 1.00464614e-09  1.03930361e+00  9.98436864e-01  1.24579695e-10  1.19990209e+00  3.29948211e+00  0.00000000e+00  0.00000000e+00 
 1.01084100e-09  1.03930371e+00  9.98436878e-01  1.24579760e-10  1.19990250e+00  3.29948219e+00  0.00000000e+00  0.00000000e+00 
 1.02323071e-09  1.03930391e+00  9.98436904e-01  1.24579856e-10  1.19990344e+00  3.29948233e+00  0.00000000e+00  0.00000000e+00 
 1.04801012e-09  1.03930428e+00  9.98436961e-01  1.24579951e-10  1.19990547e+00  3.29948265e+00  0.00000000e+00  0.00000000e+00 
 1.09756896e-09  1.03930493e+00  9.98437103e-01  1.24580007e-10  1.19990928e+00  3.29948340e+00  0.00000000e+00  0.00000000e+00 
 1.15312624e-09  1.03930510e+00  9.98437261e-01  1.24579857e-10  1.19991141e+00  3.29948411e+00  0.00000000e+00  0.00000000e+00 
 1.19638864e-09  1.03930221e+00  9.98437120e-01  1.24579567e-10  1.19991074e+00  3.29948310e+00  0.00000000e+00  0.00000000e+00 
 1.25468242e-09  1.03928522e+00  9.98435161e-01  1.24578807e-10  1.19990631e+00  3.29947196e+00  0.00000000e+00  0.00000000e+00 
 1.28681643e-09  1.03926997e+00  9.98432849e-01  1.24578387e-10  1.19990360e+00  3.29945933e+00  0.00000000e+00  0.00000000e+00 
 1.32132963e-09  1.03925193e+00  9.98429406e-01  1.24578181e-10  1.19990295e+00  3.29944133e+00  0.00000000e+00  0.00000000e+00 
 1.35837881e-09  1.03923462e+00  9.98424796e-01  1.24577958e-10  1.19990305e+00  3.29941849e+00  0.00000000e+00  0.00000000e+00 
 1.39817839e-09  1.03922170e+00  9.98418969e-01  1.24577699e-10  1.19990288e+00  3.29939139e+00  0.00000000e+00  0.00000000e+00 
 1.44154190e-09  1.03921714e+00  9.98411425e-01  1.24577410e-10  1.19990283e+00  3.29935813e+00  0.00000000e+00  0.00000000e+00 
 1.52826892e-09  1.03923613e+00  9.98391310e-01  1.24576762e-10  1.19990276e+00  3.29927669e+00  0.00000000e+00  0.00000000e+00 
 1.56734467e-09  1.03925767e+00  9.98379781e-01  1.24576439e-10  1.19990282e+00  3.29923319e+00  0.00000000e+00  0.00000000e+00 
 1.61359869e-09  1.03929282e+00  9.98363875e-01  1.24576051e-10  1.19990290e+00  3.29917655e+00  0.00000000e+00  0.00000000e+00 
 1.64880845e-09  1.03932746e+00  9.98350046e-01  1.24575724e-10  1.19990275e+00  3.29912989e+00  0.00000000e+00  0.00000000e+00 
 1.68889785e-09  1.03937487e+00  9.98332389e-01  1.24575308e-10  1.19990155e+00  3.29907330e+00  0.00000000e+00  0.00000000e+00 
 1.72920304e-09  1.03943289e+00  9.98312515e-01  1.24575175e-10  1.19989987e+00  3.29901286e+00  0.00000000e+00  0.00000000e+00 
 1.75195712e-09  1.03947061e+00  9.98300329e-01  1.24575224e-10  1.19989950e+00  3.29897725e+00  0.00000000e+00  0.00000000e+00 
 1.78048383e-09  1.03952451e+00  9.98284046e-01  1.24575043e-10  1.19990002e+00  3.29893112e+00  0.00000000e+00  0.00000000e+00 
 1.80978596e-09  1.03958880e+00  9.98266135e-01  1.24574819e-10  1.19990136e+00  3.29888207e+00  0.00000000e+00  0.00000000e+00 
 1.84292317e-09  1.03967591e+00  9.98244421e-01  1.24574717e-10  1.19990332e+00  3.29882462e+00  0.00000000e+00  0.00000000e+00 
 1.87848720e-09  1.03979211e+00  9.98219397e-01  1.24574557e-10  1.19990553e+00  3.29876079e+00  0.00000000e+00  0.00000000e+00 
 1.93048080e-09  1.04002287e+00  9.98179602e-01  1.24574294e-10  1.19990863e+00  3.29866372e+00  0.00000000e+00  0.00000000e+00 
 2.00217713e-09  1.04049085e+00  9.98117266e-01  1.24573770e-10  1.19991248e+00  3.29851907e+00  0.00000000e+00  0.00000000e+00 
 2.07303746e-09  1.04110069e+00  9.98042709e-01  1.24572638e-10  1.19991579e+00  3.29835022e+00  0.00000000e+00  0.00000000e+00 
 2.13337685e-09  1.04167211e+00  9.97964253e-01  1.24571146e-10  1.19991817e+00  3.29817451e+00  0.00000000e+00  0.00000000e+00 
 2.18575499e-09  1.04215613e+00  9.97883913e-01  1.24570168e-10  1.19991963e+00  3.29800530e+00  0.00000000e+00  0.00000000e+00 
 2.22307831e-09  1.04247796e+00  9.97820905e-01  1.24570085e-10  1.19991976e+00  3.29788643e+00  0.00000000e+00  0.00000000e+00 
 2.26536989e-09  1.04280981e+00  9.97745228e-01  1.24570459e-10  1.19991771e+00  3.29776233e+00  0.00000000e+00  0.00000000e+00 
 2.31278185e-09  1.04311233e+00  9.97655692e-01  1.24571577e-10  1.19991421e+00  3.29763882e+00  0.00000000e+00  0.00000000e+00 
