22-Sep-2026 23:52:39 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 23:52:39 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 23:52:39 | INFO    | Running IHP-SG13G2 main checks on design <results-root>/bgr-assembly-precisionstem-20260922-r1/bank.gds, topcell: g1_bgr
2026-09-22 23:52:41 +0200: Memory Usage (408492K) : Starting running IHP-SG13G2 KLayout DRC runset on <results-root>/bgr-assembly-precisionstem-20260922-r1/bank.gds
2026-09-22 23:52:41 +0200: Memory Usage (408492K) : Ruby Version for klayout: 3.2.3
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : Loading database to memory is complete.
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : IHP-SG13G2 KLayout DRC runset output at: <results-root>/bgr-assembly-precisionstem-20260922-r1-drc/reports/bank_g1_bgr_main.lyrdb
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : Evaluate switches.
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : tables selected: main
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : deep mode is enabled.
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : FEOL enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : BEOL enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : OFFGRID enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : ANGLE enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : PIN enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : FORBIDDEN enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : RECOMMENDED enabled: true
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : PreCheck DRC enabled: false
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 23:52:41 +0200: Memory Usage (409760K) : Read in polygons from layers.
2026-09-22 23:52:41 +0200: Memory Usage (410076K) : activ_drw has 3157 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411544K) : activ_pin has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411544K) : activ_mask has 301 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411544K) : activ_filler has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411808K) : activ_nofill has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411808K) : activ_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411808K) : activ_iopc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411808K) : activ_noqrc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (411808K) : biwind_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : biwind_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : pemwind_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : gatpoly_drw has 2238 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : gatpoly_pin has 336 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : gatpoly_filler has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412072K) : gatpoly_nofill has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412112K) : gatpoly_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412112K) : gatpoly_iopc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412112K) : gatpoly_noqrc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412112K) : cont_drw has 52492 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412112K) : cont_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412428K) : nsd_drw has 60 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412428K) : nsd_block has 301 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412428K) : metal1_drw has 9205 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412692K) : metal1_pin has 3986 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412692K) : metal1_mask has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412692K) : metal1_filler has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412692K) : metal1_nofill has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412956K) : metal1_slit has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412956K) : metal1_text has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412956K) : metal1_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412956K) : metal1_noqrc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (412956K) : metal1_res has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413336K) : metal1_iprobe has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413336K) : metal1_diffprb has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413336K) : passiv_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413336K) : passiv_pin has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413600K) : passiv_sbump has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413600K) : passiv_pillar has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413600K) : passiv_pdl has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413600K) : metal2_drw has 8968 polygons
2026-09-22 23:52:41 +0200: Memory Usage (413864K) : metal2_pin has 593 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414020K) : metal2_mask has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414020K) : metal2_filler has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414020K) : metal2_nofill has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414280K) : metal2_slit has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414280K) : metal2_text has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414280K) : metal2_opc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414280K) : metal2_noqrc has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414280K) : metal2_res has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414544K) : metal2_iprobe has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414544K) : metal2_diffprb has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414544K) : baspoly_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414544K) : baspoly_pin has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414544K) : psd_drw has 2249 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414808K) : nldb_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414808K) : digibnd_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (414808K) : via1_drw has 7834 polygons
2026-09-22 23:52:41 +0200: Memory Usage (415072K) : backmetal1_drw has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (415072K) : backmetal1_pin has 0 polygons
2026-09-22 23:52:41 +0200: Memory Usage (415072K) : backmetal1_mask has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415072K) : backmetal1_filler has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415336K) : backmetal1_nofill has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415336K) : backmetal1_slit has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415336K) : backmetal1_text has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415336K) : backmetal1_opc has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415336K) : backmetal1_noqrc has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415624K) : backmetal1_res has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415624K) : backmetal1_iprobe has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415740K) : backmetal1_diffprb has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415740K) : backpassiv_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (415740K) : res_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416000K) : sram_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416000K) : trans_drw has 301 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416000K) : ind_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416000K) : ind_pin has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416000K) : ind_text has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416264K) : salblock_drw has 399 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416264K) : via2_drw has 6264 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416528K) : metal3_drw has 4425 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416528K) : metal3_pin has 9 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416528K) : metal3_mask has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416792K) : metal3_filler has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416792K) : metal3_nofill has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416792K) : metal3_slit has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416792K) : metal3_text has 9 polygons
2026-09-22 23:52:42 +0200: Memory Usage (416792K) : metal3_opc has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417100K) : metal3_noqrc has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417100K) : metal3_res has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417100K) : metal3_iprobe has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417360K) : metal3_diffprb has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417360K) : nwell_drw has 470 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417360K) : nwell_pin has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : nbulay_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : nbulay_pin has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : nbulay_block has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : emwind_drw has 301 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : emwind_opc has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : deepco_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : deepco_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417624K) : mim_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : edgeseal_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : edgeseal_bound has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : substrate_drw has 235 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : substrate_text has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : dfpad_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : dfpad_pillar has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (417888K) : dfpad_sbump has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418152K) : thickgateox_drw has 672 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418152K) : pldb_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418152K) : pwell_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418152K) : pwell_pin has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418152K) : pwell_block has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418416K) : ic_drw has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418416K) : via3_drw has 2102 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418416K) : metal4_drw has 1502 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418680K) : metal4_pin has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418680K) : metal4_mask has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418680K) : metal4_filler has 0 polygons
2026-09-22 23:52:42 +0200: Memory Usage (418680K) : metal4_nofill has 0 polygons
