metric_name	value	description
raw_file_sha256	4287d89b964f577fe228200bc6626464eb8c6e3eda71f8839c06b950b70bf9c7	SHA-256 of the retained binary raw dataset
raw_file_size_bytes	7857477	Total byte size of binary raw dataset
header_size_bytes	18789	ASCII header size through and including the Binary marker
payload_size_bytes	7838688	Binary IEEE-754 double-precision payload size
variable_count	429	Real variables recorded per time point
point_count	2284	Transient time points
total_scalar_count	979836	variable_count multiplied by point_count
finite_scalar_count	979836	Finite double-precision scalars found by direct parse
nonfinite_scalar_count	0	NaN or infinity scalars found by direct parse
time_start_s	0.00000000000000000e+00	First value of variable 0 in point-major raw payload
time_end_s	4.00000000000000025e-09	Last value of variable 0 in point-major raw payload
time_strictly_monotonic_boolean	TRUE	Every parsed time value is greater than its predecessor
