# G1_TOP run d_sch_beh_tt_27C_clockfix  2026-09-19T23:33:54Z UTC
# (d) GPU-like load: 100 us bursts to 1.4x nominal at 50 % duty (1 us edges), 5 periods, SOFT_TIME default: no trip
# deck build/g1_top/d_sch_beh_tt_27C_clockfix.cir
# netlist sha256 846a55e037c5ab6e63a7490e941dc957292fe93de9d1f88bd25ab9ba5610d97c blocks/g1_gate/sim/netlist/g1_gate.spice
# IO models sha256 1d53ab7df431b717ef5aff43e1117c0224681d5cc84886da37a319280ee958d6 /foss/pdks/ihp-sg13g2/libs.ref/sg13g2_io/spice/sg13g2_io.spi
# PDK commit 84374023ee8b4b126bebbba67fcbada0a9c0ff0b
# ngspice-46 : Circuit level simulation program
# Icarus Verilog version 14.0 (devel) (s20260301-328-geda9fdcd-dirty)
# iverilog -g2005 -Wall -Wno-timescale -o /work/build/g1_top/g1_dig_cosim.vvp /work/designs/g1-guardian/blocks/g1_top/sim/rtl/g1_dig_cosim.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_sync2.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_serial.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_trip_timer.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_regfile.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_digital_top.v /work/designs/g1-guardian/blocks/g1_ctrl/rtl/g1_digital.v /work/designs/g1-guardian/blocks/g1_seu/rtl/g1_tmr_reg.v /work/designs/g1-guardian/blocks/g1_seu/rtl/g1_seu_chain.v /work/designs/g1-guardian/blocks/g1_seu/rtl/g1_seu.v
# rtl sha256 63dfb950393fe60c3da1d057f6a5dd86142c8bb670ba0a63b87248675037ccd5 designs/g1-guardian/blocks/g1_top/sim/rtl/g1_dig_cosim.v
# rtl sha256 c14906d7d9256a771cd8fdc0ab14ba291131e151d24bf06b951b6bc693ad8ef2 designs/g1-guardian/blocks/g1_ctrl/rtl/g1_sync2.v
# rtl sha256 df4341e1878caef2f7bf27abb273a7a5af3e41b96658ffa02eedb2af97c48a5d designs/g1-guardian/blocks/g1_ctrl/rtl/g1_serial.v
# rtl sha256 094527d2ccbdfad792d4c2e4d1a602c50051ed1e1c8d1789e4946a44e37af850 designs/g1-guardian/blocks/g1_ctrl/rtl/g1_trip_timer.v
# rtl sha256 16e48edd1b7ac39d4c3ccd7b76b0ff75ba9d71095e188c7c808d7fb587c10d50 designs/g1-guardian/blocks/g1_ctrl/rtl/g1_regfile.v
# rtl sha256 42430b79ddf649d832993aca1cf3c8a548afc97383c59a793cf70b972c8256ac designs/g1-guardian/blocks/g1_ctrl/rtl/g1_digital_top.v
# rtl sha256 36757122c43271dfd439bf1623be6d5413adf3bbb97cbad40d5cccf5892f5c3d designs/g1-guardian/blocks/g1_ctrl/rtl/g1_digital.v
# rtl sha256 f53f82d97b91d4e815e662e72b40968949c7d74ce135f777dba7789201167ac5 designs/g1-guardian/blocks/g1_seu/rtl/g1_tmr_reg.v
# rtl sha256 6e10bbc02a8ff29116067f2067f648b959f17b542cb2360c50e7802010048573 designs/g1-guardian/blocks/g1_seu/rtl/g1_seu_chain.v
# rtl sha256 7c1831c99b5875a2dd48387db70fd5b1a0888a520fe8676bc4e071820b7fa736 designs/g1-guardian/blocks/g1_seu/rtl/g1_seu.v
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Warning : voltage source vsclk has non-increasing PWL time points.
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: * g1_top breaker path, chip level: (d) gpu-like load: 100 us bursts to 1.4x nominal at 50 % duty (1 us edges), 5 periods, soft_time default: no trip

Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sub!                                         0
rail33                                     3.3
vdda_s                                     3.3
iovdd_s                                    3.3
vdda                                       3.3
iovdd                                      3.3
vdd_s                                      1.2
vdd                                        1.2
iprof                                        1
ldi                                7.62286e-11
gfet                               1.92898e-09
shp                                7.62286e-11
shn                                2.24285e-11
sense_p                            1.67079e-10
sense_n                            1.13279e-10
gate                               1.92898e-09
fault_n                                    3.3
xpsp.xi0.net2                              3.3
xpsp.xi0.xr0.dt                              0
sense_p_res                        5.94707e-09
xpsp.xi3.xr0.dt                              0
xpsp.xi4.net2                                0
xpsp.xi4.xr0.dt                              0
xpsn.xi0.net2                              3.3
xpsn.xi0.xr0.dt                              0
sense_n_res                        5.89327e-09
xpsn.xi3.xr0.dt                              0
xpsn.xi4.net2                                0
xpsn.xi4.xr0.dt                              0
vref_pad                                1.0399
xpvref.xi0.net2                            3.3
xpvref.xi0.xr0.dt                            0
vref                                    1.0399
xpvref.xi3.xr0.dt                            0
xpvref.xi4.net2                              0
xpvref.xi4.xr0.dt                            0
en_core                                      0
en_pad                                       0
sclk_core                                    0
sclk_pad                                     0
sdi_core                                     0
sdi_pad                                      0
xpg.xi2.xi1.net2                           1.2
gate_core                          1.67333e-07
xpg.net1                                   3.3
xpg.xi2.xi1.net4                   7.88535e-09
xpg.xi2.xi1.net3                           3.3
xpg.xi2.xi0.net2                           1.2
xpg.net2                                   3.3
xpg.xi2.xi0.net4                   7.88535e-09
xpg.xi2.xi0.net3                           3.3
xpf.xi2.xi1.net2                   5.23253e-08
fault_core                                 1.2
xpf.net1                           1.07841e-08
xpf.xi2.xi1.net4                           3.3
xpf.xi2.xi1.net3                   7.88535e-09
xpf.xi2.xi0.net2                   5.23253e-08
xpf.net2                           3.21906e-09
xpf.xi2.xi0.net4                           3.3
xpf.xi2.xi0.net3                   7.88535e-09
osc_en_g                                     0
osc_en                                       0
vdda_bgr                                   3.3
isense_b                                0.9992
isense                                  0.9992
vdda_sense                                 3.3
icmp_b                                  0.4996
icmp                                    0.4996
vth_soft                              0.500329
cs                                  9.6266e-09
vth_hard                              0.500329
ch                                  9.6266e-09
soft0                                        0
soft1                                        0
soft2                                        0
soft3                                        0
soft4                                        0
soft5                                        0
soft6                                        0
soft7                                        0
hard0                                        0
hard1                                        0
hard2                                        0
hard3                                        0
hard4                                        0
hard5                                        0
hard6                                        0
hard7                                        0
cmps_a                                0.390429
cmph_a                                0.390429
zero_a                                       0
cmp_soft                                     0
cmp_hard                                     0
vdda_trip                                  3.3
vdd_trip                                   1.2
osc_i                                        0
osc_clk                                      0
vdd_osc                                    1.2
vdda_gate                                  3.3
vdd_gate                                   1.2
xgate.fast_n                               1.2
fast_en                                      0
xgate.xna.m                          0.0507959
xgate.fast                         9.23907e-08
xgate.xu0.ab                               1.2
xgate.xu0.nb                               3.3
xgate.xu0.n                        7.88535e-09
xgate.fast_h                       3.21906e-09
xgate.xu1.ab                               1.2
trip_d                                       0
xgate.xu1.nb                               3.3
xgate.xu1.n                        7.88535e-09
xgate.trip_h                       3.21906e-09
xgate.xu2.ab                               1.2
clr_d                                        0
xgate.xu2.nb                               3.3
xgate.xu2.n                        7.88535e-09
xgate.clr_h                        3.21906e-09
xgate.xu3.ab                               1.2
xgate.xu3.nb                               3.3
xgate.xu3.n                        7.88535e-09
xgate.en_h                         3.21906e-09
xgate.xn1.m                                3.3
xgate.set_n                                3.3
xgate.set                          3.21906e-09
xgate.en_hn                                3.3
xgate.xn2.m                           0.951007
xgate.rst_n                        5.72171e-09
xgate.rst                                  3.3
xgate.xl1.m                            2.30912
xgate.q                            1.78714e-09
xgate.qb                                   3.3
xgate.xl2.m                                3.3
xgate.xg.m                            0.951007
xgate.gate_h                       5.72171e-09
xgate.gate_hn                              3.3
xgate.xd1.yb                               1.2
xgate.xd2.yb                       4.58369e-08
xgate.xd3.yb                               1.2
tripped                            4.58366e-08
cmp_clk                                      0
trim3                                        0
trim2                                        0
trim1                                        0
trim0                                        0
dig_trip                                     0
dig_gate_en                                  0
cause1                                       0
cause0                                       0
sdo                                          0
sp15                                         0
sp14                                         0
sp13                                         0
sp12                                         0
sp11                                         0
sp10                                         0
sp9                                          0
sp8                                          0
sp7                                          0
sp6                                          0
sp5                                          0
sp4                                          0
sp3                                          0
sp2                                          0
sp1                                          0
sp0                                          0
inrush_active                                0
soft_armed                                   0
bosc_clk#branch                              0
bcmph#branch                      -3.90429e-13
bcmps#branch                      -3.90429e-13
bch#branch                         -9.6266e-21
bcs#branch                         -9.6266e-21
bvthh#branch                      -5.00329e-13
