group,seed,sigma_n_mV,M_target,crossing_cycle,crossing_time_us,settled_mean,settled_error_lsb,settled_std,dither_span,obs_window_len
Group 1 (23.0 mV),101,23.0,114727,10763,2.1526,114727.1742,0.17419999999401625,2.4136309494203956,16,50000
Group 1 (23.0 mV),102,23.0,114727,11211,2.2422,114727.44632,0.44632000000274274,1.5310775478727392,10,50000
Group 1 (23.0 mV),103,23.0,114727,12809,2.5618000000000003,114727.00274,0.0027399999962653965,1.5799786366910153,10,50000
Group 1 (23.0 mV),104,23.0,114727,11967,2.3934,114726.21202,0.787979999993695,2.1658410651753743,12,50000
Group 1 (23.0 mV),105,23.0,114727,11047,2.2094,114726.81476,0.1852400000061607,1.4592347797390248,9,50000
Group 1 (23.0 mV),106,23.0,114727,14931,2.9862,114727.41828,0.4182799999980489,2.200872972617911,12,50000
Group 1 (23.0 mV),107,23.0,114727,12925,2.5850000000000004,114726.60902,0.3909799999964889,2.181585350060822,13,50000
Group 1 (23.0 mV),108,23.0,114727,14009,2.8018,114725.37164,1.6283600000024308,2.4115977505380117,16,50000
Group 1 (23.0 mV),109,23.0,114727,14357,2.8714,114727.5564,0.5564000000013039,2.30353186216297,14,50000
Group 1 (23.0 mV),110,23.0,114727,11223,2.2446,114726.37618,0.6238199999934295,2.4430285728169454,15,50000
Group 2 (45.5 mV),201,45.5,114727,19037,3.8074000000000003,114727.47926,0.47925999999279156,2.2359717915036406,14,50000
Group 2 (45.5 mV),202,45.5,114727,29475,5.8950000000000005,114726.95322,0.04678000000421889,3.0287739485805147,16,50000
Group 2 (45.5 mV),203,45.5,114727,23133,4.6266,114726.94794,0.05206000000180211,2.379636475682788,13,50000
Group 2 (45.5 mV),204,45.5,114727,18105,3.621,114728.13336,1.1333600000070874,2.8726320875461933,15,50000
Group 2 (45.5 mV),205,45.5,114727,28051,5.6102,114729.50952,2.509520000006887,2.7013458441302918,17,50000
Group 3 (90.0 mV),301,90.0,114727,44127,8.8254,114726.75114,0.24886000000697095,5.535757283371445,21,50000
Group 3 (90.0 mV),302,90.0,114727,45131,9.0262,114726.59554,0.40446000000520144,3.429541092974394,16,50000
Group 3 (90.0 mV),303,90.0,114727,32593,6.5186,114727.41838,0.4183800000027986,3.1774294918377026,16,50000
Group 3 (90.0 mV),304,90.0,114727,39861,7.9722,114726.74538,0.25462000000698026,3.4036316862433873,16,50000
Group 3 (90.0 mV),305,90.0,114727,45637,9.1274,114728.97796,1.9779600000038045,2.030594552932712,12,50000
Group 3 (90.0 mV),306,90.0,114727,36589,7.3178,114728.25302,1.253020000003744,3.0148633268524794,14,50000
Group 3 (90.0 mV),307,90.0,114727,74541,14.9082,114727.05258,0.05258000000321772,3.7232318412368572,18,50000
Group 3 (90.0 mV),308,90.0,114727,44581,8.916200000000002,114722.8865,4.113500000006752,2.5062357730269516,14,50000
Group 3 (90.0 mV),309,90.0,114727,47339,9.4678,114727.95276,0.9527600000001257,3.1292248852391547,17,50000
Group 3 (90.0 mV),310,90.0,114727,40795,8.159,114730.26752,3.267519999993965,4.821787329362422,24,50000
