 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00 -1.403165822615842e-21 -1.403165822615842e-21  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.562491299187145e-22 -3.124982598374291e-22  0.000000000000000e+00 
 5.000000000000000e-10 -3.735793033437936e-21 -1.426261141534873e-21 -6.648078001531143e-21 -6.756980658522962e-23 -8.207352938463838e-26 -9.203046496680518e-23 -1.840609299336104e-22 -1.641470587692768e-25 
 1.000000000000000e-09 -3.571024456330249e-21 -1.447496421879382e-21 -1.283909338255860e-20 -1.318481302308328e-22 -1.175595200491946e-25 -6.333088692081628e-23 -1.266617738416326e-22 -2.351190400983893e-25 
 2.000000000000000e-09 -9.266472509630326e-20 -2.545910422243703e-21 -1.472575643719572e-18 -2.594531046650747e-18 -2.124843227059543e-22 -1.910237385259865e-20 -3.820474770519729e-20 -4.249686454119085e-22 
 4.000000000000000e-09 -4.215811951265552e-20 -4.332457510584857e-21 -3.040904819509270e-18 -7.002450762189864e-18 -2.487309711317898e-22 -2.220238689260864e-20 -4.440477378521728e-20 -4.974619422635795e-22 
 8.000000000000000e-09  2.120937666167266e-21 -5.400658562291746e-21 -4.485034179480696e-18 -1.067228891118723e-17 -1.392707841462705e-22 -1.512080336610903e-20 -3.024160673221807e-20 -2.785415682925410e-22 
 1.600000000000000e-08 -2.083243330890636e-20 -7.532055658131630e-21 -8.562112680929753e-18 -1.665215015734542e-17 -6.137007459754827e-23 -1.628395840236701e-21 -3.256791680473402e-21 -1.227401491950965e-22 
 3.200000000000000e-08  5.183129434689683e-21 -6.914440002804630e-21 -7.571505154472817e-18 -2.182655456871155e-17 -3.503498160459016e-23  1.316849511539313e-21  2.633699023078626e-21 -7.006996320918032e-23 
 6.400000000000000e-08 -1.087030033769228e-20 -7.655016479925479e-21 -3.988724661663733e-18 -2.420142904311637e-17 -1.794061003577929e-23  5.296206120511314e-22  1.059241224102263e-21 -3.588122007155858e-23 
 1.140000000000000e-07 -1.468964076430259e-20 -1.062088904344879e-20  4.759625686645353e-18 -2.687842909916559e-17  7.698105733295708e-25 -2.097237734347826e-22 -4.194475468695652e-22  1.539621146659142e-24 
