 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  6.415598409059699e-28  6.415598409059699e-28  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -6.639879990833331e-25 -1.327975998166666e-24  0.000000000000000e+00 
 5.000000000000001e-12 -1.692878864884446e-20 -1.692068098233717e-24 -1.808645703326263e-21 -2.086019827038830e-23 -3.796352970893529e-26 -2.427198085573416e-24 -4.854396171146832e-24 -7.592705941787057e-26 
 1.000000000000000e-11 -1.758159418227413e-20 -3.449882528208310e-24 -2.558713259024871e-21 -2.891545564617560e-23 -5.404869919989689e-26 -3.445941812737280e-24 -6.891883625474560e-24 -1.080973983997938e-25 
 2.000000000000000e-11 -4.997149448226426e-18 -6.044415348751743e-22 -5.588942785921736e-18 -3.699012968328374e-18  1.235342704987293e-21 -9.287005790940164e-23 -1.857401158188033e-22  2.470685409974585e-21 
 4.000000000000000e-11  1.011956395744368e-17  1.343138139880165e-21 -5.960110154687181e-18 -1.342952335005067e-17  3.254322183358179e-21 -4.116960812233181e-21 -8.233921624466361e-21  6.508644366716358e-21 
 8.000000000000001e-11 -8.864822937579691e-18 -1.353263563843171e-21 -1.714831452004102e-17 -2.323495415748074e-17  5.438016521020329e-21  2.407203711062601e-20  4.814407422125203e-20  1.087603304204066e-20 
 1.600000000000000e-10 -4.904789161272369e-18 -8.211099865772175e-21 -2.768338658763865e-17 -4.311290230683496e-17  8.022082649423421e-21  6.680557151296026e-20  1.336111430259205e-19  1.604416529884684e-20 
 3.200000000000000e-10  1.857933572650504e-18 -1.011072385801902e-20 -3.144412723422236e-17 -5.705714705790617e-17  9.929859233293006e-21  1.138514740794126e-19  2.277029481588252e-19  1.985971846658601e-20 
 6.400000000000001e-10 -4.920650891834745e-19 -1.346823497198860e-20 -3.503847391867527e-17 -7.048212339903548e-17  9.308683447384938e-21  9.186473903888072e-20  1.837294780777614e-19  1.861736689476988e-20 
 1.140000000000000e-09 -1.975443083911187e-20 -1.548193950737419e-20 -4.135436046251028e-17 -7.068473274637797e-17  4.562366948192408e-21  7.198874008800246e-20  1.439774801760049e-19  9.124733896384815e-21 
 1.640000000000000e-09  3.260778082653970e-20 -1.583025411952892e-20 -3.670614631076563e-17 -7.370482729389006e-17  2.042131541235374e-21  2.824183922295177e-20  5.648367844590354e-20  4.084263082470748e-21 
 2.140000000000000e-09 -1.120995797613746e-19 -1.658313528674470e-20 -3.244825276238334e-17 -7.801105385517384e-17  1.057867393942020e-21 -2.962312572982324e-21 -5.924625145964648e-21  2.115734787884041e-21 
 2.640000000000000e-09  5.687452306981461e-20 -1.634595912783232e-20 -2.967444774268641e-17 -8.204549525513654e-17  6.944846509824410e-22 -9.326581253206421e-22 -1.865316250641284e-21  1.388969301964882e-21 
 3.140000000000000e-09 -3.196271596971419e-20 -1.637084620661552e-20 -2.818878880169647e-17 -8.566017902723961e-17  6.584365583628535e-22  7.385962669206654e-21  1.477192533841331e-20  1.316873116725707e-21 
 3.640000000000000e-09 -9.563024669406365e-21 -1.633400205033704e-20 -2.525215248228716e-17 -8.960282695041191e-17  6.564213930207960e-22  1.350246932629428e-20  2.700493865258856e-20  1.312842786041592e-21 
 4.140000000000000e-09 -1.895358379283462e-20 -1.633915022204945e-20 -2.248062432365221e-17 -9.363054403254861e-17  6.775378680623938e-22  1.645161394230232e-20  3.290322788460463e-20  1.355075736124788e-21 
 4.640000000000001e-09 -1.892804597956848e-20 -1.635799991968614e-20 -2.072383724729083e-17 -9.927342643450139e-17  6.158006227113486e-22  1.685226713538079e-20  3.370453427076157e-20  1.231601245422697e-21 
 5.140000000000001e-09 -1.934309569372005e-20 -1.638401038760580e-20 -2.024805145506339e-17 -1.050854452974565e-16  5.753501069681182e-22  1.674531812724938e-20  3.349063625449876e-20  1.150700213936236e-21 
 5.640000000000001e-09 -1.876246571083726e-20 -1.640837448508404e-20 -1.961280310754495e-17 -1.143819573642599e-16  5.875201903239070e-22  1.620626737395046e-20  3.241253474790091e-20  1.175040380647814e-21 
 6.140000000000002e-09 -1.899062869450528e-20 -1.643354308828493e-20 -1.958860612079888e-17 -1.202787891303509e-16  5.624645417811913e-22  1.585127568195928e-20  3.170255136391856e-20  1.124929083562383e-21 
 6.640000000000002e-09 -1.907908226272355e-20 -1.645939718983779e-20 -1.932928653824704e-17 -1.254379911291202e-16  5.046610796222916e-22  1.504433868686746e-20  3.008867737373492e-20  1.009322159244583e-21 
 7.140000000000002e-09 -1.888702793621680e-20 -1.648403517542734e-20 -1.773703664729485e-17 -1.264095113368591e-16  4.973703994957899e-22  1.507482998238760e-20  3.014965996477519e-20  9.947407989915798e-22 
 7.640000000000003e-09 -6.553931674981805e-20 -1.681706286320130e-20 -1.607102924878682e-17 -1.303321998819607e-16  4.170361479664139e-22  1.567247151043977e-20  3.134494302087954e-20  8.340722959328278e-22 
 8.140000000000002e-09  6.446436361535254e-20 -1.638904933942743e-20 -1.877743379221492e-17 -1.307623753887328e-16  4.602237321984994e-22  1.758690345496915e-20  3.517380690993830e-20  9.204474643969989e-22 
 8.640000000000002e-09 -2.764925491281808e-20 -1.632189390488899e-20 -2.108581964309796e-17 -1.312414611073548e-16  4.638482741816443e-22  1.738515029944121e-20  3.477030059888242e-20  9.276965483632887e-22 
 9.140000000000001e-09 -9.197303121763514e-21 -1.625247428561716e-20 -1.808272470215046e-17 -1.312826331604478e-16  6.064599028360330e-22  1.816240710516071e-20  3.632481421032142e-20  1.212919805672066e-21 
 9.640000000000001e-09 -1.906377069900425e-20 -1.624810551376150e-20 -1.829552762392107e-17 -1.325151175512961e-16  5.189069550886336e-22  1.856946579342618e-20  3.713893158685236e-20  1.037813910177267e-21 
 1.014000000000000e-08 -1.876793829541852e-20 -1.626334653487987e-20 -2.001304116315688e-17 -1.339335576347729e-16  5.328905532726839e-22  1.948720779485974e-20  3.897441558971947e-20  1.065781106545368e-21 
 1.064000000000000e-08 -1.926188882012636e-20 -1.628825112654322e-20 -1.856061535680471e-17 -1.345895822263639e-16  5.919243749744183e-22  2.003667762821992e-20  4.007335525643984e-20  1.183848749948837e-21 
 1.114000000000000e-08 -1.885848299908433e-20 -1.631351908320354e-20 -1.610870627610281e-17 -1.346020704258491e-16  5.951508108982061e-22  1.974855820831121e-20  3.949711641662242e-20  1.190301621796412e-21 
 1.164000000000000e-08 -1.880323836409822e-20 -1.633837416342811e-20 -1.806477825045512e-17 -1.346653210787538e-16  6.457482909640772e-22  2.182390593581909e-20  4.364781187163818e-20  1.291496581928154e-21 
 1.214000000000000e-08 -1.929780479142704e-20 -1.636620320077399e-20 -2.054034091654477e-17 -1.348900597332767e-16  6.486924263103711e-22  2.180506445115987e-20  4.361012890231973e-20  1.297384852620742e-21 
 1.264000000000000e-08 -1.895297886946952e-20 -1.639254907849577e-20 -1.899474961580068e-17 -1.352022924860965e-16  6.671246354417022e-22  2.138836917785947e-20  4.277673835571894e-20  1.334249270883404e-21 
 1.314000000000000e-08 -1.883256569501400e-20 -1.641743192950642e-20 -1.716723554825797e-17 -1.361556141053236e-16  6.098313363491957e-22  2.037870801509789e-20  4.075741603019577e-20  1.219662672698391e-21 
 1.364000000000000e-08 -1.900803932481674e-20 -1.644282762451200e-20 -1.969592109239325e-17 -1.375428365690755e-16  5.527882797640721e-22  2.085138452467269e-20  4.170276904934539e-20  1.105576559528144e-21 
 1.414000000000000e-08 -1.906711528672807e-20 -1.646861618353514e-20 -1.762462015935532e-17 -1.381976271943721e-16  6.347108934856116e-22  2.151436874793187e-20  4.302873749586375e-20  1.269421786971223e-21 
 1.464000000000000e-08 -1.888800132459987e-20 -1.649317785964257e-20 -1.542371168250205e-17 -1.365344050645138e-16  6.238276348793484e-22  2.243980551079204e-20  4.487961102158407e-20  1.247655269758697e-21 
 1.514000000000000e-08 -6.555244527314829e-20 -1.682620667566162e-20 -1.737118204966993e-17 -1.342214890933350e-16  6.091935582023777e-22  2.071371284987331e-20  4.142742569974662e-20  1.218387116404755e-21 
